iter	Logloss
0	0.4929762298
1	0.3934912401
2	0.3441464357
3	0.3178661979
4	0.302526769
5	0.2936911225
6	0.286985776
7	0.2830684153
8	0.2797496963
9	0.2768995281
10	0.2748271262
11	0.2733195127
12	0.2719146934
13	0.2707647824
14	0.2698973263
15	0.2692587247
16	0.2686950949
17	0.2682874875
18	0.2678415514
19	0.2675674531
20	0.2672325507
21	0.2669490297
22	0.2667980334
23	0.26656831
24	0.2664616729
25	0.2662716358
26	0.2661224057
27	0.2659804304
28	0.2659060731
29	0.2657849695
30	0.2656421324
31	0.2655518962
32	0.2654647989
33	0.2654539718
34	0.2653556444
35	0.2653476261
36	0.2652503689
37	0.2651729376
38	0.26510271
39	0.2650477012
40	0.2649208572
41	0.2648517038
42	0.264796716
43	0.2647533526
44	0.2647005018
45	0.2646767839
46	0.2646530399
47	0.2646073969
48	0.264553783
49	0.2645299446
50	0.2645066863
51	0.2644462455
52	0.264411449
53	0.2643514179
54	0.2643212441
55	0.2643151297
56	0.264276959
57	0.2642607551
58	0.2642338547
59	0.2641900771
60	0.2641831764
61	0.2641553455
62	0.2641190132
63	0.2641190095
64	0.2640931432
65	0.2640601836
66	0.2640479501
67	0.2640203672
68	0.2639907731
69	0.2639732539
70	0.2639483742
71	0.2639253763
72	0.2639151825
73	0.2638813367
74	0.2638656331
75	0.2638389355
76	0.2638167178
77	0.2637960394
78	0.2637787614
79	0.2637661531
80	0.2637507527
81	0.2637434973
82	0.2637140625
83	0.2637009984
84	0.2636824464
85	0.2636665442
86	0.2636262139
87	0.2636184949
88	0.2636064362
89	0.2635884084
90	0.2635718387
91	0.2635052002
92	0.2635050715
93	0.2634756261
94	0.2634524551
95	0.2634395694
96	0.2634016706
97	0.2633840314
98	0.263367056
99	0.2633502267
100	0.2633311291
101	0.2632908352
102	0.2632520085
103	0.2632359881
104	0.2632207754
105	0.263202883
106	0.2631763491
107	0.2631615687
108	0.2631445709
109	0.2631232621
110	0.2630962078
111	0.263077197
112	0.2630298087
113	0.2630168122
114	0.2630042773
115	0.2629790446
116	0.26295054
117	0.2629354557
118	0.2629272847
119	0.2629033112
120	0.2628918543
121	0.2628774745
122	0.2628612471
123	0.2628462402
124	0.2628175994
125	0.2627986906
126	0.2627791051
127	0.2627570608
128	0.2627481222
129	0.2627392568
130	0.2627346609
131	0.2627282734
132	0.2627153063
133	0.2627073592
134	0.2626960906
135	0.2626902055
136	0.2626625499
137	0.2626532951
138	0.2626469677
139	0.2626323865
140	0.2626197887
141	0.2626021067
142	0.2625743642
143	0.2625666254
144	0.2625588887
145	0.2625506443
146	0.2625336285
147	0.2625279979
148	0.2625108078
149	0.2625031766
150	0.2624913843
151	0.2624804523
152	0.2624699634
153	0.2624678599
154	0.2624637813
155	0.2624490655
156	0.2624273965
157	0.2624172215
158	0.2624027893
159	0.2623964349
160	0.2623824613
161	0.2623748384
162	0.2623633429
163	0.2623495793
164	0.2623424817
165	0.2623336158
166	0.262315234
167	0.2622975425
168	0.2622924476
169	0.2622856887
170	0.2622791417
171	0.2622730434
172	0.2622603618
173	0.2622472121
174	0.2622255826
175	0.2622161506
176	0.2621911583
177	0.2621768857
178	0.2621656045
179	0.2621448408
180	0.2621402696
181	0.2621402214
182	0.2621196787
183	0.2621119508
184	0.2621037752
185	0.2621021189
186	0.2620976632
187	0.2620851188
188	0.262071833
189	0.262051665
190	0.2620398387
191	0.2620340719
192	0.2620212599
193	0.2620103744
194	0.2620028378
195	0.2619856324
196	0.2619825931
197	0.2619722331
198	0.2619670828
199	0.2619379126
200	0.2619297767
